"","DATE","ATM","Cash"
"469",2009-08-26,"ATM1",96
"470",2009-08-26,"ATM2",31
"471",2009-08-26,"ATM3",0
"472",2009-08-26,"ATM4",413
"473",2009-08-27,"ATM1",13
"474",2009-08-27,"ATM2",4
"475",2009-08-27,"ATM3",0
"476",2009-08-27,"ATM4",83
"477",2009-08-28,"ATM1",121
"478",2009-08-28,"ATM2",96
"479",2009-08-28,"ATM3",0
"480",2009-08-28,"ATM4",997
"481",2009-08-29,"ATM1",133
"482",2009-08-29,"ATM2",50
"483",2009-08-29,"ATM3",0
"484",2009-08-29,"ATM4",104
"485",2009-08-30,"ATM1",118
"486",2009-08-30,"ATM2",52
"487",2009-08-30,"ATM3",0
"488",2009-08-30,"ATM4",1117
"489",2009-08-31,"ATM1",91
"490",2009-08-31,"ATM2",56
"491",2009-08-31,"ATM3",0
"492",2009-08-31,"ATM4",817
"493",2009-09-01,"ATM1",120
"494",2009-09-01,"ATM2",104
"495",2009-09-01,"ATM3",0
"496",2009-09-01,"ATM4",915
"497",2009-09-02,"ATM1",88
"498",2009-09-02,"ATM2",27
"499",2009-09-02,"ATM3",0
"500",2009-09-02,"ATM4",649
"501",2009-09-03,"ATM1",19
"502",2009-09-03,"ATM2",13
"503",2009-09-03,"ATM3",0
"504",2009-09-03,"ATM4",141
"505",2009-09-04,"ATM1",150
"506",2009-09-04,"ATM2",107
"507",2009-09-04,"ATM3",0
"508",2009-09-04,"ATM4",1496
"509",2009-09-05,"ATM1",144
"510",2009-09-05,"ATM2",125
"511",2009-09-05,"ATM3",0
"512",2009-09-05,"ATM4",1302
"513",2009-09-06,"ATM1",121
"514",2009-09-06,"ATM2",103
"515",2009-09-06,"ATM3",0
"516",2009-09-06,"ATM4",780
"517",2009-09-07,"ATM1",105
"518",2009-09-07,"ATM2",42
"519",2009-09-07,"ATM3",0
"520",2009-09-07,"ATM4",745
"521",2009-09-08,"ATM1",133
"522",2009-09-08,"ATM2",90
"523",2009-09-08,"ATM3",0
"524",2009-09-08,"ATM4",201
"525",2009-09-09,"ATM1",109
"526",2009-09-09,"ATM2",29
"527",2009-09-09,"ATM3",0
"528",2009-09-09,"ATM4",855
"529",2009-09-10,"ATM1",18
"530",2009-09-10,"ATM2",8
"531",2009-09-10,"ATM3",0
"532",2009-09-10,"ATM4",51
"533",2009-09-11,"ATM1",1
"534",2009-09-11,"ATM2",2
"535",2009-09-11,"ATM3",0
"536",2009-09-11,"ATM4",8
"537",2009-09-12,"ATM1",105
"538",2009-09-12,"ATM2",84
"539",2009-09-12,"ATM3",0
"540",2009-09-12,"ATM4",1062
"541",2009-09-13,"ATM1",112
"542",2009-09-13,"ATM2",62
"543",2009-09-13,"ATM3",0
"544",2009-09-13,"ATM4",716
"545",2009-09-14,"ATM1",82
"546",2009-09-14,"ATM2",77
"547",2009-09-14,"ATM3",0
"548",2009-09-14,"ATM4",36
"549",2009-09-15,"ATM1",111
"550",2009-09-15,"ATM2",78
"551",2009-09-15,"ATM3",0
"552",2009-09-15,"ATM4",492
"553",2009-09-16,"ATM1",79
"554",2009-09-16,"ATM2",25
"555",2009-09-16,"ATM3",0
"556",2009-09-16,"ATM4",344
"557",2009-09-17,"ATM1",13
"558",2009-09-17,"ATM2",8
"559",2009-09-17,"ATM3",0
"560",2009-09-17,"ATM4",21
"561",2009-09-18,"ATM1",112
"562",2009-09-18,"ATM2",113
"563",2009-09-18,"ATM3",0
"564",2009-09-18,"ATM4",506
"565",2009-09-19,"ATM1",99
"566",2009-09-19,"ATM2",71
"567",2009-09-19,"ATM3",0
"568",2009-09-19,"ATM4",98
"569",2009-09-20,"ATM1",140
"570",2009-09-20,"ATM2",94
"571",2009-09-20,"ATM3",0
"572",2009-09-20,"ATM4",474
"573",2009-09-21,"ATM1",110
"574",2009-09-21,"ATM2",59
"575",2009-09-21,"ATM3",0
"576",2009-09-21,"ATM4",900
"577",2009-09-22,"ATM1",180
"578",2009-09-22,"ATM2",89
"579",2009-09-22,"ATM3",0
"580",2009-09-22,"ATM4",1713
"581",2009-09-23,"ATM1",73
"582",2009-09-23,"ATM2",18
"583",2009-09-23,"ATM3",0
"584",2009-09-23,"ATM4",282
"585",2009-09-24,"ATM1",7
"586",2009-09-24,"ATM2",6
"587",2009-09-24,"ATM3",0
"588",2009-09-24,"ATM4",27
"589",2009-09-25,"ATM1",106
"590",2009-09-25,"ATM2",115
"591",2009-09-25,"ATM3",0
"592",2009-09-25,"ATM4",329
"593",2009-09-26,"ATM1",103
"594",2009-09-26,"ATM2",81
"595",2009-09-26,"ATM3",0
"596",2009-09-26,"ATM4",762
"597",2009-09-27,"ATM1",93
